Lifetime_Gross_Rank,Movie_Title,Lifetime_Gross,Domestic_Distributor,Budget,MPAA,Running_Time_Minutes,Genres
1.0,Avengers: Endgame ,2797800000.0,Walt Disney Studios Motion Pictures,356000000.0,PG-13,181.0,Action Adventure Drama Sci-Fi
2.0,Avatar ,2790440000.0,Twentieth Century Fox,237000000.0,PG-13,162.0,Action Adventure Fantasy Sci-Fi
3.0,Titanic ,2194440000.0,Paramount Pictures,200000000.0,PG-13,194.0,Drama Romance
4.0,Star Wars: Episode VII - The Force Awakens ,2068220000.0,Walt Disney Studios Motion Pictures,245000000.0,PG-13,138.0,Action Adventure Sci-Fi
5.0,Avengers: Infinity War ,2048360000.0,Walt Disney Studios Motion Pictures,,PG-13,149.0,Action Adventure Sci-Fi
6.0,Jurassic World ,1670400000.0,Universal Pictures,150000000.0,PG-13,124.0,Action Adventure Sci-Fi
7.0,The Lion King ,1656940000.0,Walt Disney Studios Motion Pictures,260000000.0,PG,118.0,Adventure Animation Drama Family Musical
8.0,The Avengers ,1518810000.0,Walt Disney Studios Motion Pictures,220000000.0,PG-13,143.0,Action Adventure Sci-Fi
9.0,Furious 7 ,1515050000.0,Universal Pictures,190000000.0,PG-13,137.0,Action Adventure Thriller
10.0,Frozen II ,1420800000.0,Walt Disney Studios Motion Pictures,,PG,103.0,Adventure Animation Comedy Family Fantasy Musical
11.0,Avengers: Age of Ultron ,1402810000.0,Walt Disney Studios Motion Pictures,250000000.0,PG-13,141.0,Action Adventure Sci-Fi
12.0,Black Panther ,1346910000.0,Walt Disney Studios Motion Pictures,,PG-13,134.0,Action Adventure Sci-Fi
13.0,Harry Potter and the Deathly Hallows: Part 2 ,1341930000.0,Warner Bros.,,PG-13,130.0,Adventure Drama Fantasy Mystery
14.0,Star Wars: Episode VIII - The Last Jedi ,1332540000.0,Walt Disney Studios Motion Pictures,317000000.0,PG-13,152.0,Action Adventure Fantasy Sci-Fi
15.0,Jurassic World: Fallen Kingdom ,1308470000.0,Universal Pictures,170000000.0,PG-13,128.0,Action Adventure Sci-Fi
16.0,Frozen ,1280800000.0,Walt Disney Studios Motion Pictures,150000000.0,PG,102.0,Adventure Animation Comedy Family Fantasy Musical
17.0,Beauty and the Beast ,1263520000.0,Walt Disney Studios Motion Pictures,160000000.0,PG,129.0,Family Fantasy Musical Romance
18.0,Incredibles 2 ,1242810000.0,Walt Disney Studios Motion Pictures,,PG,118.0,Action Adventure Animation Comedy Family Sci-Fi
19.0,The Fate of the Furious ,1236010000.0,Universal Pictures,250000000.0,PG-13,136.0,Action Adventure Thriller
20.0,Iron Man 3 ,1214810000.0,Walt Disney Studios Motion Pictures,200000000.0,PG-13,130.0,Action Adventure Sci-Fi
21.0,Minions ,1159400000.0,Universal Pictures,74000000.0,PG,91.0,Adventure Animation Comedy Family Sci-Fi
22.0,Captain America: Civil War ,1153300000.0,Walt Disney Studios Motion Pictures,250000000.0,PG-13,147.0,Action Adventure Sci-Fi
23.0,Aquaman ,1148160000.0,Warner Bros.,,PG-13,143.0,Action Adventure Fantasy Sci-Fi
24.0,The Lord of the Rings: The Return of the King ,1142220000.0,New Line Cinema,94000000.0,PG-13,201.0,Adventure Drama Fantasy
25.0,Spider-Man: Far from Home ,1131930000.0,Sony Pictures Releasing,160000000.0,PG-13,129.0,Action Adventure Sci-Fi
26.0,Captain Marvel ,1128270000.0,Walt Disney Studios Motion Pictures,,PG-13,123.0,Action Adventure Sci-Fi
27.0,Transformers: Dark of the Moon ,1123790000.0,DreamWorks,195000000.0,PG-13,154.0,Action Adventure Sci-Fi
28.0,Skyfall ,1108560000.0,Sony Pictures Releasing,200000000.0,PG-13,143.0,Action Adventure Thriller
29.0,Transformers: Age of Extinction ,1104050000.0,Paramount Pictures,210000000.0,PG-13,165.0,Action Adventure Sci-Fi
30.0,The Dark Knight Rises ,1081040000.0,Warner Bros.,250000000.0,PG-13,164.0,Action Adventure Fantasy Thriller
31.0,Toy Story 4 ,1073390000.0,Walt Disney Studios Motion Pictures,,G,100.0,Adventure Animation Comedy Family Fantasy
32.0,Joker ,1071050000.0,Warner Bros.,55000000.0,R,122.0,Crime Drama Thriller
33.0,Toy Story 3 ,1066970000.0,Walt Disney Studios Motion Pictures,200000000.0,,103.0,Adventure Animation Comedy Family Fantasy
34.0,Pirates of the Caribbean: Dead Man's Chest ,1066180000.0,Walt Disney Studios Motion Pictures,225000000.0,PG-13,151.0,Action Adventure Fantasy
35.0,Rogue One: A Star Wars Story ,1056060000.0,Walt Disney Studios Motion Pictures,200000000.0,PG-13,133.0,Action Adventure Sci-Fi
36.0,Aladdin ,1050690000.0,Walt Disney Studios Motion Pictures,183000000.0,PG,128.0,Adventure Family Fantasy Musical Romance
37.0,Star Wars: Episode IX - The Rise of Skywalker ,1048440000.0,Walt Disney Studios Motion Pictures,,PG-13,142.0,Action Adventure Fantasy Sci-Fi
38.0,Pirates of the Caribbean: On Stranger Tides ,1045710000.0,Walt Disney Studios Motion Pictures,250000000.0,PG-13,136.0,Action Adventure Fantasy
39.0,Despicable Me 3 ,1034800000.0,Universal Pictures,80000000.0,PG,89.0,Adventure Animation Comedy Family Fantasy Sci-Fi
40.0,Jurassic Park ,1032020000.0,Universal Pictures,63000000.0,PG-13,127.0,Action Adventure Sci-Fi Thriller
41.0,Finding Dory ,1028570000.0,Walt Disney Studios Motion Pictures,,PG,97.0,Adventure Animation Comedy Family
42.0,Star Wars: Episode I - The Phantom Menace ,1027080000.0,Twentieth Century Fox,115000000.0,PG,136.0,Action Adventure Fantasy Sci-Fi
43.0,Alice in Wonderland ,1025470000.0,Walt Disney Studios Motion Pictures,200000000.0,PG,108.0,Adventure Family Fantasy
44.0,Zootopia ,1023780000.0,Walt Disney Studios Motion Pictures,,PG,108.0,Adventure Animation Comedy Crime Family Mystery
45.0,The Hobbit: An Unexpected Journey ,1017000000.0,Warner Bros.,,PG-13,169.0,Adventure Family Fantasy
46.0,The Dark Knight ,1004930000.0,Warner Bros.,185000000.0,PG-13,152.0,Action Crime Drama Thriller
47.0,Harry Potter and the Sorcerer's Stone ,978088000.0,Warner Bros.,125000000.0,PG,152.0,Adventure Family Fantasy
48.0,Harry Potter and the Deathly Hallows: Part 1 ,976920000.0,Warner Bros.,,PG-13,146.0,Adventure Family Fantasy Mystery
49.0,Despicable Me 2 ,970766000.0,Universal Pictures,76000000.0,PG,98.0,Adventure Animation Comedy Family Fantasy Sci-Fi
50.0,The Lion King ,968512000.0,Walt Disney Studios Motion Pictures,45000000.0,G,88.0,Adventure Animation Drama Family Musical
51.0,The Jungle Book ,966551000.0,Walt Disney Studios Motion Pictures,175000000.0,PG,106.0,Adventure Drama Family Fantasy
52.0,Jumanji: Welcome to the Jungle ,962102000.0,Sony Pictures Releasing,90000000.0,PG-13,119.0,Action Adventure Comedy Fantasy
53.0,Pirates of the Caribbean: At World's End ,960996000.0,Walt Disney Studios Motion Pictures,300000000.0,PG-13,169.0,Action Adventure Fantasy
54.0,The Hobbit: The Desolation of Smaug ,958367000.0,Warner Bros.,,PG-13,161.0,Adventure Fantasy
55.0,The Hobbit: The Battle of the Five Armies ,956020000.0,Warner Bros.,,PG-13,144.0,Adventure Fantasy
56.0,The Lord of the Rings: The Two Towers ,951208000.0,New Line Cinema,94000000.0,PG-13,179.0,Adventure Drama Fantasy
57.0,Harry Potter and the Order of the Phoenix ,942044000.0,Warner Bros.,150000000.0,PG-13,138.0,Action Adventure Family Fantasy Mystery
58.0,Finding Nemo ,940343000.0,Walt Disney Studios Motion Pictures,94000000.0,,100.0,Adventure Animation Comedy Family
59.0,Harry Potter and the Half-Blood Prince ,934326000.0,Warner Bros.,250000000.0,PG,153.0,Action Adventure Family Fantasy Mystery
60.0,Shrek 2 ,928761000.0,DreamWorks Distribution,150000000.0,PG,93.0,Adventure Animation Comedy Family Fantasy Romance
61.0,Bohemian Rhapsody ,903655000.0,Twentieth Century Fox,52000000.0,PG-13,134.0,Biography Drama Music
62.0,Harry Potter and the Goblet of Fire ,896346000.0,Warner Bros.,150000000.0,PG-13,157.0,Adventure Family Fantasy Mystery
63.0,Spider-Man 3 ,894983000.0,Sony Pictures Releasing,258000000.0,PG-13,139.0,Action Sci-Fi
64.0,The Lord of the Rings: The Fellowship of the Ring ,887833000.0,New Line Cinema,93000000.0,PG-13,178.0,Adventure Drama Fantasy
65.0,Ice Age: Dawn of the Dinosaurs ,886687000.0,Twentieth Century Fox,90000000.0,PG,94.0,Adventure Animation Comedy Family
66.0,Spectre ,880675000.0,Sony Pictures Releasing,245000000.0,PG-13,148.0,Action Adventure Thriller
67.0,Spider-Man: Homecoming ,880167000.0,Sony Pictures Releasing,175000000.0,PG-13,133.0,Action Adventure Sci-Fi
68.0,Harry Potter and the Chamber of Secrets ,879466000.0,Warner Bros.,100000000.0,PG,161.0,Adventure Family Fantasy Mystery
69.0,Ice Age: Continental Drift ,877245000.0,Twentieth Century Fox,95000000.0,PG,88.0,Adventure Animation Comedy Drama Family Fantasy
70.0,The Secret Life of Pets ,875458000.0,Universal Pictures,75000000.0,PG,87.0,Adventure Animation Comedy Family
71.0,Batman v Superman: Dawn of Justice ,873635000.0,Warner Bros.,250000000.0,PG-13,151.0,Action Adventure Sci-Fi
72.0,Wolf Warrior 2 ,870325000.0,The H Collective,30100000.0,,123.0,Action Drama Thriller War
73.0,Star Wars: Episode III - Revenge of the Sith ,868391000.0,Twentieth Century Fox,113000000.0,PG-13,140.0,Action Adventure Fantasy Sci-Fi
74.0,The Hunger Games: Catching Fire ,865012000.0,Lionsgate,130000000.0,PG-13,146.0,Action Adventure Sci-Fi Thriller
75.0,Guardians of the Galaxy Vol. 2 ,863756000.0,Walt Disney Studios Motion Pictures,200000000.0,PG-13,136.0,Action Adventure Comedy Sci-Fi
76.0,Inside Out ,857611000.0,Walt Disney Studios Motion Pictures,175000000.0,PG,95.0,Adventure Animation Comedy Drama Family Fantasy
77.0,Venom ,856085000.0,Sony Pictures Releasing,100000000.0,PG-13,112.0,Action Sci-Fi Thriller
78.0,Thor: Ragnarok ,853977000.0,Walt Disney Studios Motion Pictures,180000000.0,PG-13,130.0,Action Adventure Comedy Fantasy Sci-Fi
79.0,Transformers: Revenge of the Fallen ,836304000.0,DreamWorks,200000000.0,PG-13,150.0,Action Adventure Sci-Fi
80.0,Inception ,829895000.0,Warner Bros.,160000000.0,PG-13,148.0,Action Adventure Sci-Fi Thriller
81.0,The Twilight Saga: Breaking Dawn - Part 2 ,829747000.0,Lionsgate,120000000.0,PG-13,115.0,Adventure Drama Fantasy Romance
82.0,Spider-Man ,825025000.0,Sony Pictures Releasing,139000000.0,PG-13,121.0,Action Adventure Sci-Fi
83.0,Wonder Woman ,821847000.0,Warner Bros.,149000000.0,PG-13,141.0,Action Adventure Fantasy Sci-Fi War
84.0,Independence Day ,817401000.0,Twentieth Century Fox,75000000.0,PG-13,145.0,Action Adventure Sci-Fi
85.0,Fantastic Beasts and Where to Find Them ,814038000.0,Warner Bros.,180000000.0,PG-13,132.0,Adventure Family Fantasy
86.0,Shrek the Third ,813367000.0,DreamWorks,160000000.0,PG,93.0,Adventure Animation Comedy Family Fantasy
87.0,Coco ,807082000.0,Walt Disney Studios Motion Pictures,,PG,105.0,Adventure Animation Family Fantasy Music Mystery
88.0,Harry Potter and the Prisoner of Azkaban ,796094000.0,Warner Bros.,130000000.0,PG,142.0,Adventure Family Fantasy Mystery
89.0,Pirates of the Caribbean: Dead Men Tell No Tales ,794862000.0,Walt Disney Studios Motion Pictures,230000000.0,PG-13,129.0,Action Adventure Fantasy
90.0,E.T. the Extra-Terrestrial ,793482000.0,Universal Pictures,10500000.0,PG,115.0,Family Sci-Fi
91.0,2012 ,791218000.0,Sony Pictures Releasing,200000000.0,PG-13,158.0,Action Adventure Sci-Fi
92.0,Mission: Impossible - Fallout ,791115000.0,Paramount Pictures,178000000.0,PG-13,147.0,Action Adventure Thriller
93.0,Indiana Jones and the Kingdom of the Crystal Skull ,790654000.0,Paramount Pictures,185000000.0,PG-13,122.0,Action Adventure
94.0,Spider-Man 2 ,788976000.0,Sony Pictures Releasing,200000000.0,PG-13,127.0,Action Adventure Sci-Fi
95.0,Fast & Furious 6 ,788680000.0,Universal Pictures,160000000.0,PG-13,130.0,Action Adventure Thriller
